Elapsed Hours (since 7:00),CE8_FED001_061621_concat_00.CSV,CE8_FED002_061621_00.CSV,CE8_FED003_061621_00.CSV,CE8_FED005_061621_00.CSV,CE8_FED006_061621_01.CSV,CE8_FED009_061621_00.CSV,CE8a_FED001_090321_concat_00.CSV,CE8a_FED002_090321_concat_00.CSV,CE8a_FED003_090321_01.CSV,CE8a_FED004_090321_00.CSV,CE8a_FED005_090321_concat_00.CSV,CE8a_FED006_090321_02.CSV,CE8_FED001_060921_00.CSV,CE8_FED002_060921_concat_00.CSV,CE8_FED003_060921_concat_00.CSV,CE8_FED005_060921_concat_00.CSV,CE8_FED006_060921_01.CSV,CE8_FED009_060921_00.CSV,CE8a_FED001_082621_01.CSV,CE8a_FED002_082621_03.CSV,CE8a_FED003_082621_05.CSV,CE8a_FED004_082621_01.CSV,CE8a_FED005_082621_01.CSV,CE8a_FED006_082621_01.CSV,Post,Post SEM,Pre,Pre SEM
57.0,47.0,24.0,41.0,6.0,44.0,9.0,237.0,66.0,13.0,40.0,37.0,157.0,5.0,46.0,75.0,40.0,43.0,114.0,63.0,71.0,13.0,59.0,100.0,12.0,60.083333333333336,19.754346791825775,53.416666666666664,9.83766596897718
58.0,50.0,18.0,53.0,51.0,40.0,40.0,204.0,46.0,19.0,18.0,126.0,201.0,11.0,16.0,61.0,60.0,85.0,24.0,80.0,58.0,18.0,113.0,43.0,32.0,72.16666666666667,19.39065431457832,50.083333333333336,9.18204632679855
59.0,98.0,24.0,68.0,40.0,31.0,31.0,75.0,168.0,9.0,31.0,19.0,74.0,22.0,45.0,50.0,77.0,49.0,108.0,170.0,26.0,34.0,29.0,98.0,18.0,55.666666666666664,12.871352577399051,60.5,13.0793035677815
60.0,191.0,70.0,243.0,35.0,62.0,39.0,100.0,113.0,10.0,13.0,43.0,170.0,17.0,56.0,102.0,81.0,136.0,203.0,62.0,24.0,2.0,47.0,29.0,0.0,90.75,21.669041245169307,63.25,17.31225043579012
61.0,273.0,58.0,131.0,57.0,66.0,60.0,190.0,98.0,36.0,189.0,61.0,108.0,95.0,60.0,121.0,114.0,174.0,98.0,65.0,48.0,24.0,31.0,135.0,23.0,110.58333333333333,20.893111208233112,82.33333333333333,13.930745011149138
62.0,98.0,53.0,123.0,24.0,30.0,69.0,45.0,167.0,85.0,390.0,101.0,175.0,97.0,63.0,77.0,116.0,98.0,103.0,81.0,56.0,39.0,160.0,86.0,10.0,113.33333333333333,28.829523307564664,82.16666666666667,11.103393784575667
63.0,0.0,8.0,61.0,26.0,26.0,64.0,54.0,92.0,143.0,90.0,116.0,162.0,85.0,56.0,102.0,67.0,117.0,198.0,96.0,73.0,41.0,294.0,93.0,19.0,70.16666666666667,15.020608738286436,103.41666666666667,21.58122722847032
64.0,2.0,14.0,124.0,32.0,35.0,79.0,73.0,96.0,31.0,194.0,86.0,83.0,38.0,57.0,62.0,109.0,102.0,67.0,106.0,65.0,62.0,201.0,94.0,31.0,70.75,15.429765115359064,82.83333333333333,13.04934303079483
65.0,39.0,18.0,95.0,24.0,54.0,63.0,134.0,138.0,86.0,176.0,97.0,247.0,81.0,54.0,120.0,37.0,60.0,104.0,126.0,116.0,77.0,230.0,55.0,44.0,97.58333333333333,19.43343663884388,92.0,15.378063873090413
66.0,40.0,44.0,53.0,13.0,8.0,56.0,57.0,121.0,19.0,209.0,57.0,27.0,40.0,48.0,80.0,46.0,72.0,75.0,172.0,130.0,155.0,231.0,129.0,76.0,58.666666666666664,16.12514192248248,104.5,17.072261748582736
67.0,24.0,45.0,75.0,12.0,18.0,62.0,24.0,237.0,9.0,8.0,115.0,108.0,27.0,19.0,28.0,99.0,59.0,37.0,44.0,131.0,74.0,122.0,87.0,65.0,61.416666666666664,19.277266534716613,66.0,10.837644829691802
68.0,27.0,67.0,72.0,19.0,0.0,36.0,13.0,76.0,40.0,52.0,51.0,136.0,31.0,50.0,43.0,29.0,85.0,40.0,14.0,122.0,107.0,160.0,110.0,47.0,49.083333333333336,10.479025467450432,69.83333333333333,13.169543222407857
69.0,37.0,62.0,87.0,9.0,18.0,19.0,157.0,168.0,17.0,14.0,123.0,127.0,19.0,45.0,66.0,21.0,60.0,91.0,161.0,85.0,37.0,292.0,109.0,28.0,69.83333333333333,17.330055051291907,84.5,22.33101525735546
70.0,28.0,19.0,101.0,14.0,18.0,19.0,61.0,66.0,35.0,71.0,62.0,93.0,40.0,65.0,95.0,47.0,23.0,103.0,68.0,113.0,33.0,44.0,98.0,65.0,48.916666666666664,8.854427358016093,66.16666666666667,8.663606685906327
71.0,20.0,19.0,50.0,12.0,0.0,36.0,123.0,162.0,8.0,83.0,46.0,81.0,24.0,61.0,35.0,10.0,27.0,81.0,103.0,165.0,31.0,99.0,45.0,42.0,53.333333333333336,14.452290021608578,60.25,12.83232483247134
72.0,22.0,40.0,95.0,23.0,20.0,32.0,199.0,90.0,23.0,16.0,39.0,66.0,13.0,62.0,73.0,19.0,50.0,75.0,92.0,90.0,65.0,223.0,67.0,42.0,55.416666666666664,15.218837178000987,72.58333333333333,15.418140797663176
73.0,28.0,3.0,33.0,28.0,0.0,1.0,207.0,84.0,1.0,16.0,87.0,79.0,13.0,34.0,39.0,30.0,31.0,48.0,107.0,87.0,13.0,113.0,115.0,1.0,47.25,17.37471386291532,52.583333333333336,12.00155187776762
74.0,12.0,21.0,44.0,18.0,4.0,16.0,101.0,62.0,10.0,41.0,51.0,83.0,6.0,0.0,48.0,13.0,32.0,62.0,118.0,75.0,24.0,222.0,70.0,25.0,38.583333333333336,8.948047301230057,57.916666666666664,17.850158446514044
75.0,27.0,2.0,50.0,9.0,0.0,15.0,19.0,65.0,6.0,30.0,74.0,117.0,6.0,25.0,74.0,22.0,19.0,39.0,18.0,103.0,8.0,89.0,77.0,14.0,34.5,10.277586675810031,41.166666666666664,10.003660946035323
76.0,18.0,9.0,10.0,6.0,6.0,5.0,0.0,75.0,4.0,24.0,75.0,102.0,1.0,27.0,49.0,19.0,2.0,18.0,199.0,73.0,23.0,181.0,60.0,13.0,27.833333333333332,10.132331489550737,55.416666666666664,19.25839381473004
77.0,16.0,29.0,44.0,10.0,0.0,7.0,0.0,3.0,18.0,18.0,20.0,61.0,7.0,38.0,89.0,12.0,47.0,32.0,121.0,104.0,26.0,19.0,43.0,14.0,18.833333333333332,5.296987899559599,46.0,10.988285773605648
78.0,6.0,9.0,46.0,13.0,13.0,13.0,90.0,31.0,9.0,2.0,39.0,86.0,1.0,26.0,40.0,9.0,19.0,49.0,76.0,60.0,16.0,43.0,41.0,14.0,29.75,8.782838810758033,32.833333333333336,6.479376762646485
79.0,0.0,4.0,24.0,7.0,0.0,7.0,229.0,76.0,4.0,6.0,44.0,73.0,3.0,13.0,47.0,4.0,6.0,18.0,128.0,66.0,3.0,34.0,93.0,13.0,39.5,18.969872445698222,35.666666666666664,11.748844774502452
