TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED,Xpos_cm,Ypos_cm
2757244.344,,454.53,540.184,0,0,0,0,0,2757.244344,0,0,0,0,0,47.2678481078475,4.087391051681891,1.7263449165151945,45.5415031913323,14.271558332820767,2.6071411465653624,63.069782769902,46.2036157755766,0.5169830603700506,0,0,7.362100767399724,-10.869148925223278,-1.8091956210078795
2757311.0,,459.146,534.954,0,0,0,0,0,2757.311,0,0,0,0,0,42.03898104554765,8.704458702897568,3.676039108887175,38.36294193666047,12.565803515642942,2.1961858396760445,62.47640624057536,46.81116116691729,0.4065062524669081,0,0,7.38442031901434,-10.890899610620226,-1.790456694500782
2757377.654,,456.691,538.01,0,0,0,0,0,2757.377654,0,0,0,0,0,45.09611393099152,6.250526295910049,2.639793135511147,42.45632079548037,13.538463699105444,2.4305219002683813,63.59387816184331,45.45889086457515,1.939626010094482,0,0,7.341348589732351,-10.849333167870146,-1.8327561926381746
2757444.312,,456.719,528.5,0,0,0,0,0,2757.444312,0,0,0,0,0,35.58724686615784,6.27959392682061,2.652067807544036,32.935179058613805,11.2760697727287,1.8854595144227144,64.66111720975182,43.916011801515545,0.2884643265804562,0,0,7.299151550107013,-10.808904859974312,-1.881621554875363
2757510.976,,456.308,524.08,0,0,0,0,0,2757.510976,0,0,0,0,0,31.168379885035733,5.869661627657024,2.478961697059712,28.68941818797602,10.26720089207908,1.6423999514168164,64.58931811784359,44.24214922564879,0.2775099922021781,0,0,7.303086920240354,-10.812270648843429,-1.870845461478753
2757577.628,,454.294,518.091,0,0,0,0,0,2757.577628,0,0,0,0,0,25.18051268170092,3.856729110132676,1.6289410485598832,23.55157163314104,9.046356463799434,1.3482706359751864,64.5564192895309,43.83571152329329,0.328623181195323,0,0,7.302139171615801,-10.812197915094584,-1.8846303356915008
2757644.287,,459.063,512.216,0,0,0,0,0,2757.644287,0,0,0,0,0,19.3066455790742,8.626796678550647,3.6432440083438298,15.66340157073037,7.17198587541473,0.8966919374325776,64.50423583951479,43.9763671196437,0.1744624491288041,0,0,7.304515190392127,-10.814364154583501,-1.8800444976818134
2757710.949,,452.428,513.271,0,0,0,0,0,2757.710949,0,0,0,0,0,20.36277850917031,1.992864268844244,0.8418686617237159,19.5209098474466,8.088598981004623,1.117524976456143,64.66873632794727,45.0523646769085,0.7583604047797686,0,0,7.304592211574401,-10.811949632410954,-1.8433257322197245
2757777.604,,460.81,508.141,0,0,0,0,0,2757.777604,0,0,0,0,0,15.233911302040385,10.375931720866674,4.381868323883141,10.852042978157243,6.028720838690222,0.6212532698752531,64.56710738267387,45.1005426566247,0.0733539536459728,0,0,7.308112111036468,-10.815512582796234,-1.8419982996516033
2757844.263,,458.935,508.788,0,0,0,0,0,2757.844263,0,0,0,0,0,15.882044144629615,8.501999210780752,3.5905445643429115,12.291499580286706,6.370761527080641,0.7036586863223139,64.59093089521059,45.48624654237139,0.2072396351691864,0,0,7.309315857770704,-10.815830746747197,-1.8289381306028107
