T,Time,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,CPSP,CPSP_SEM,SHAM,SHAM_SEM,SHAM_68b,SHAM_6d2,SHAM_6d3
75,1/24/2023 18:00,4.58,27.00,7.36,6.95,16.60,0.37,0.08,3.48,8.30,3.24,12.36,4.63,21.60,8.29,7.19
76,1/24/2023 19:00,30.40,46.50,13.40,28.00,15.40,3.01,0.25,30.08,20.88,5.53,31.95,1.15,,30.80,33.10
77,1/24/2023 20:00,15.00,23.10,10.10,15.50,17.90,45.60,7.20,14.20,18.58,4.21,18.13,2.41,21.30,19.70,13.40
78,1/24/2023 21:00,8.24,15.80,9.76,15.20,31.10,33.50,42.40,38.40,24.30,4.78,32.03,5.35,34.10,40.10,21.90
79,1/24/2023 22:00,35.20,48.30,16.20,12.20,34.60,16.00,32.90,43.10,29.81,4.75,26.20,7.81,33.20,10.60,34.80
80,1/24/2023 23:00,6.79,24.40,15.10,37.30,5.38,46.50,37.40,39.90,26.60,5.64,34.83,9.78,16.00,48.80,39.70
81,1/25/2023 0:00,55.80,51.80,19.40,15.60,1.51,40.80,36.70,40.20,32.73,6.65,45.45,7.35,,52.80,38.10
82,1/25/2023 1:00,46.00,21.20,4.65,38.60,41.20,43.70,10.70,59.40,33.18,6.71,42.27,0.93,43.80,42.40,40.60
83,1/25/2023 2:00,30.00,38.30,2.32,37.30,24.60,4.36,6.36,14.10,19.67,5.23,23.17,10.52,43.60,8.62,17.30
84,1/25/2023 3:00,7.75,47.80,3.87,7.65,18.40,9.67,25.80,32.20,19.14,5.38,9.55,5.61,6.21,1.93,20.50
85,1/25/2023 4:00,17.70,39.60,10.10,36.70,6.03,5.07,9.96,28.13,19.16,4.90,22.00,3.25,15.50,25.00,25.50
86,1/25/2023 5:00,35.40,8.95,16.80,35.00,14.30,46.60,32.60,30.62,27.53,4.54,25.67,3.35,25.80,19.80,31.40
87,1/25/2023 6:00,54.30,16.20,35.90,30.20,24.60,13.50,18.60,18.69,26.50,4.78,27.13,3.24,32.60,27.40,21.40
88,1/25/2023 7:00,30.60,6.82,17.70,7.82,46.50,18.20,30.60,45.30,25.44,5.45,25.67,11.31,17.00,48.10,11.90
89,1/25/2023 8:00,1.11,33.10,11.10,48.20,3.94,1.04,16.90,1.64,14.63,6.18,14.61,4.96,7.62,12.00,24.20
90,1/25/2023 9:00,9.11,5.59,0.13,43.50,4.66,2.40,1.80,1.10,8.54,5.10,11.53,1.39,13.30,8.78,12.50
91,1/25/2023 10:00,3.48,7.19,1.28,4.46,22.40,0.97,10.60,0.78,6.39,2.58,1.62,0.70,2.96,0.64,1.25
92,1/25/2023 11:00,32.00,14.60,0.61,4.14,3.20,4.10,4.18,0.68,7.94,3.77,3.39,1.58,5.89,0.47,3.81
93,1/25/2023 12:00,1.42,7.57,0.03,16.80,13.00,3.53,11.50,0.52,6.80,2.26,2.88,1.12,3.06,4.72,0.85
94,1/25/2023 13:00,5.99,6.29,0.38,20.30,2.94,1.50,0.38,0.79,4.82,2.37,10.19,1.78,7.96,13.70,8.90
95,1/25/2023 14:00,0.87,2.97,4.50,3.78,12.10,0.11,2.70,0.79,3.48,1.35,7.65,4.63,16.00,0.02,6.93
96,1/25/2023 15:00,30.70,33.70,0.11,18.20,12.30,0.59,5.31,0.83,12.72,4.81,2.11,0.82,2.14,3.52,0.68
97,1/25/2023 16:00,4.27,32.30,6.48,19.10,39.50,22.50,8.90,14.30,18.42,4.44,11.08,5.56,14.80,0.15,18.30
98,1/25/2023 17:00,7.53,0.02,0.97,25.00,10.20,4.91,3.67,2.60,6.86,2.85,13.53,4.23,16.50,18.90,5.18
99,1/25/2023 18:00,23.70,4.32,13.60,8.76,9.80,3.80,3.35,0.97,8.54,2.61,17.92,6.74,30.40,7.25,16.10
100,1/25/2023 19:00,31.80,27.30,21.00,45.30,35.20,8.36,5.51,1.95,22.05,5.51,35.67,7.23,50.10,29.20,27.70
101,1/25/2023 20:00,36.80,20.90,10.10,16.20,32.10,38.40,5.50,22.70,22.84,4.30,22.00,5.70,33.40,15.90,16.70
102,1/25/2023 21:00,25.80,36.20,25.10,22.10,32.80,30.40,32.90,38.80,30.51,2.05,22.90,5.60,26.10,12.00,30.60
103,1/25/2023 22:00,7.98,56.00,22.40,19.60,25.40,32.60,15.70,35.50,26.90,5.20,28.83,4.94,28.60,37.50,20.40
104,1/25/2023 23:00,50.10,59.50,22.80,42.00,39.20,26.40,39.00,22.70,37.71,4.68,28.40,8.17,44.30,17.20,23.70
105,1/26/2023 0:00,58.40,56.20,12.60,3.25,40.70,24.10,23.90,11.20,28.79,7.37,20.23,6.84,12.80,14.00,33.90
