T,CPSP,CPSP_SEM,SHAM,SHAM_SEM,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,SHAM_68b,SHAM_6d2,SHAM_6d3
108,25.9075,4.188042396,10.8,4.464530584,37.30,32.40,10.50,26.70,22.90,34.80,36.20,6.46,5.09,7.71,19.60
109,24.18325,6.324035262,8.628133333,7.89681519,35.60,37.00,7.02,44.90,24.40,3.52,40.10,0.93,24.40,1.46,0.02
110,19.2255,4.170973024,29.13333333,6.732095596,30.20,27.60,26.40,23.20,28.40,14.20,0.06,3.74,33.60,37.90,15.90
111,21.935,4.982620868,19.72,9.942655581,49.20,29.70,31.50,16.40,15.00,14.70,4.28,14.70,39.50,8.06,11.60
112,15.8625,3.625595887,30.73333333,4.417515642,21.80,7.20,9.91,16.90,3.99,37.00,15.40,14.70,23.90,39.00,29.30
113,6.3546,2.026814146,9.943333333,1.417090133,7.43,10.50,7.37,9.96,15.30,0.06,0.15,0.07,12.60,7.76,9.47
114,9.00575,3.789750019,3.753333333,0.294863434,16.20,2.91,0.47,27.90,19.90,1.14,1.90,1.63,3.97,4.12,3.17
115,3.13175,1.012486345,15.52333333,6.788437064,3.04,8.74,0.24,5.16,1.52,0.38,4.26,1.72,8.80,29.10,8.67
116,8.499125,3.022080713,1.535666667,0.514867728,13.10,3.15,5.08,7.02,13.50,0.30,25.50,0.35,1.51,0.66,2.44
117,6.520875,3.811627565,16.52,8.518474042,2.99,6.46,3.31,32.80,1.20,3.63,0.66,1.12,32.10,2.76,14.70
118,4.3688,2.403559986,0.51,0.318284988,0.56,0.02,1.09,3.60,20.30,0.67,1.98,6.73,0.12,0.27,1.14
119,4.948925,2.250991826,4.448,2.429925376,17.60,0.02,2.26,5.85,11.30,0.88,1.44,0.24,0.19,4.54,8.61
120,5.021275,2.330319226,4.490666667,3.605625296,0.06,11.70,4.31,18.40,2.80,0.90,1.75,0.25,11.70,0.74,1.03
121,8.8775,2.808505417,16.73333333,2.021825358,15.40,1.40,5.41,16.90,21.40,2.06,1.04,7.41,12.70,18.50,19.00
122,11.58125,2.24209997,8.386666667,4.131554725,6.79,2.02,7.43,20.40,9.31,17.00,12.00,17.70,16.30,2.37,6.49
123,9.22775,3.7025942,7.71,1.975609611,12.50,6.62,7.77,32.20,12.20,0.43,0.61,1.50,9.77,9.60,3.76
124,25.16,6.569226689,29.86666667,4.972032895,34.70,40.00,28.40,47.00,39.90,1.33,1.98,7.97,39.80,25.30,24.50
125,23.425,1.897343067,23.2,3.304542328,28.70,24.60,27.70,27.80,15.70,24.30,14.80,23.80,23.80,28.60,17.20
126,30.5125,3.130976428,17.36333333,5.341661206,27.90,17.70,40.00,20.90,36.40,42.80,27.40,31.00,22.30,6.69,23.10
127,33.4325,5.810893634,36.06666667,2.582849417,46.30,53.30,43.90,29.60,11.20,8.86,43.50,30.80,34.00,41.20,33.00
128,32.8375,4.988126527,22.70666667,10.38698117,12.10,57.10,41.40,38.10,28.50,29.00,38.20,18.30,40.60,4.62,22.90
129,28.8225,6.204139387,30.16666667,7.360781963,54.80,47.90,9.43,9.75,39.60,32.00,14.10,23.00,16.60,41.90,32.00
130,29.2525,7.209791643,27.13333333,7.984638028,45.90,53.90,44.50,47.10,3.65,9.17,16.40,13.40,18.90,43.10,19.40
131,27.75,3.905993563,15.78666667,6.825797471,16.30,45.20,16.60,42.50,27.70,27.40,19.00,27.30,28.20,14.50,4.66
132,14.785,5.063827604,10.33666667,2.255070829,2.29,14.80,25.50,14.50,44.70,6.22,2.85,7.42,6.61,10.00,14.40
133,15.55875,5.445070981,32.46666667,4.914717128,46.70,26.40,12.20,21.60,2.13,1.57,6.44,7.43,33.00,40.70,23.70
134,24.835,6.363946159,37.83333333,0.648930744,58.20,22.40,21.80,37.60,24.10,1.84,28.70,4.04,36.60,38.80,38.10
135,19.43625,5.743800676,20.39666667,7.980936314,53.40,21.40,15.60,27.80,21.00,8.15,5.37,2.77,31.10,4.79,25.30
136,21.584125,6.366249895,14.12333333,10.0172956,46.40,37.60,0.27,2.42,25.30,36.40,3.08,21.20,7.55,33.80,1.02
137,14.23125,2.603033558,7.47,3.284250295,15.90,6.56,13.20,28.50,9.70,5.59,17.60,16.80,1.12,12.10,9.19
138,7.965,1.718476277,9.100666667,6.89214532,6.51,7.75,5.15,16.80,14.00,3.92,6.27,3.32,4.25,0.35,22.70
139,5.404125,1.740816315,2.656666667,1.704311526,10.60,3.30,0.33,14.70,5.06,0.55,4.68,4.01,6.00,0.41,1.56
140,4.882125,1.90591304,2.587,1.908830095,2.15,0.71,0.12,17.30,5.30,3.67,4.91,4.90,0.25,1.14,6.37
141,6.28515,2.856128085,2.558333333,1.588438262,6.32,0.07,6.50,25.10,2.57,0.23,6.86,2.63,5.73,1.13,0.82
142,3.779625,0.903456931,18.7,1.607275127,4.00,4.68,0.56,2.71,9.33,2.34,3.32,3.30,21.70,18.20,16.20
143,10.72625,2.218859856,2.543333333,0.631567714,20.00,7.06,6.17,12.70,5.32,13.50,18.10,2.96,2.65,3.58,1.40
144,10.745375,5.457044258,4.818266667,4.109805876,3.99,0.17,4.59,26.90,42.50,0.99,3.75,3.07,13.00,0.04,1.41
145,8.334875,2.46410747,13.06333333,4.956821338,10.90,0.38,0.43,8.08,2.59,9.00,17.10,18.20,9.81,22.80,6.58
146,11.85,3.340076988,6.213333333,4.209581663,24.50,6.70,7.74,25.60,15.70,1.08,11.70,1.78,14.60,1.38,2.66
147,9.203875,3.42644808,9.153333333,1.585531807,12.90,9.41,7.74,30.60,8.64,0.41,1.13,2.80,12.30,7.92,7.24
148,25.235,6.532948361,25.04666667,8.209476908,34.70,45.20,25.00,48.70,33.00,12.00,0.57,2.71,33.80,8.64,32.70
149,25.9875,4.176611644,16.21333333,5.832167503,17.10,39.00,24.00,42.10,37.00,19.30,19.40,10.00,24.70,5.04,18.90
150,35.2875,4.004971799,17.9,3.764748774,52.80,29.20,22.90,25.70,25.60,44.50,46.70,34.90,24.70,17.30,11.70
151,31.775,5.575,28.8,3.085989847,32.30,53.40,44.60,43.30,10.90,36.20,22.60,10.90,34.50,28.00,23.90
152,31.825,4.848922929,23.56666667,2.425787386,27.30,53.80,43.00,41.30,34.20,12.90,22.20,19.90,27.70,23.70,19.30
