Time,ACUTE_SHAM,ACUTE_SNI,ACUTE_SHAM_SEM,ACUTE_SNI_SEM
213.000000000,3.848650000,2.777150000,1.610170036,1.184719294
214.000000000,3.332850000,3.628500000,1.661666906,2.283346983
215.000000000,2.397816667,3.060733333,0.768483939,1.619892847
216.000000000,4.489816667,4.332783333,2.602024039,1.608895634
217.000000000,7.125333333,2.230866667,2.842838174,0.959636272
218.000000000,6.243508333,4.025500000,2.321880680,1.404397954
219.000000000,2.278600000,1.521058333,0.721766807,0.685690959
220.000000000,7.476866667,2.393591667,2.456075588,1.316827598
221.000000000,2.154916667,3.648000000,0.837551989,1.688424938
222.000000000,5.644166667,4.987866667,1.061596467,1.280876620
223.000000000,13.078916667,8.765866667,4.329183294,3.331075534
224.000000000,8.453666667,6.343166667,2.603265904,1.601750306
225.000000000,12.057283333,22.099166667,3.080604904,4.413115861
226.000000000,15.295950000,26.066666667,4.583115164,4.062006769
227.000000000,21.640616667,18.844166667,6.464867026,4.964102418
228.000000000,19.731200000,18.795833333,5.031273450,3.888114651
229.000000000,11.816933333,15.342033333,3.783596298,3.718029530
230.000000000,15.735533333,12.666450000,4.776367778,3.834453476
231.000000000,13.566066667,11.785000000,4.646012553,3.734689452
232.000000000,8.166366667,9.505366667,2.514795981,1.922786901
233.000000000,9.525116667,8.946166667,3.272736894,2.906141415
234.000000000,8.204950000,10.045250000,3.010932895,3.090585085
235.000000000,10.400783333,14.830000000,4.149457972,1.703399008
236.000000000,8.309750000,7.425950000,2.896367056,2.238749082
237.000000000,2.972583333,3.397100000,1.061892082,1.891585432
238.000000000,6.001450000,5.840583333,1.636170092,1.448250964
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 ,,,,
