Time,55C_SHAM_F,56C_SHAM_F,59F_SHAM_F,536_SHAMF,A0D_SHAMF,A04_SHAMF,55C_SH_M,56C_SH_M,59F_SH_M,536_SH_M,A0D_SH_M,A04_SH_M,B65_SNI_F,B5F_SNI_F,A22_SNI_F,50E_SNIF,50D_SNIF,B65_SNI_F,56F_SNI_M,B6F_SNI_Male,B5F_SNI_Male,A22_SNI_Male,50E_SNI_Male,50D_SNI_Male,,,CTRL,SNI,CTRL_SEM,SNI_SEM,,,,,,,,,,
5/8/2024 13:00,18.4,1.45,12.6,10.7,19.5,0.281,2.15,0.523,3.91,0.54,2.52,40.1,13.1,15.2,26.6,6.3,12.2,0.2,16.1,3.93,0.173,13.8,0.296,0.0244,,51,9.3895,8.993616667,3.449994584,2.451609477,,,,,,,,,,
5/8/2024 14:00,2.49,18.8,4.77,0.0244,0.146,0.157,5.37,0.0687,3.68,0.373,0.132,0.0244,1.17,0.749,0.376,0.409,2.67,0.0244,4.3,0.305,0.0244,3.98,0.46,0.195,,52,3.002958333,1.2219,1.549114174,0.444880163,,,,,,,,,,
5/8/2024 15:00,2.02,1.74,1.22,10.5,1.08,1.52,2.07,1.05,3.5,16,0.357,2.21,6.34,4.9,1.71,0.277,2.24,0.429,1.44,3.27,2.34,7.98,0.237,0.379,,53,3.605583333,2.6285,1.362288001,0.736608902,,,,,,,,,,
5/8/2024 16:00,12.6,0.916,5.1,10.8,36.3,8.65,16.3,18.3,20.8,28,6.01,27.1,5.42,16.3,8.98,4.87,2.86,8.91,5.9,10.7,13.1,14.6,20,11.2,,54,15.90633333,10.23666667,3.072821197,1.479734995,,,,,,,,,,
5/8/2024 17:00,7.24,12.5,1.76,0.0244,0.0244,0.246,1.28,0.0244,9.57,18.9,0.21,12.7,1.65,0.525,0.213,0.221,5.12,0.0244,0.569,0.544,0.0337,5.05,0.548,0.0244,,55,5.373266667,1.210208333,1.901217644,0.537645765,,,,,,,,,,
5/8/2024 18:00,10.7,0.593,1.77,13.7,2.77,2.72,13,3.32,6.99,15,0.336,7.37,26.4,9.48,11.6,16.5,6.36,0.505,3.24,0.86,1.07,10.4,0.286,2.09,,56,6.522416667,7.39925,1.553454398,2.306693512,,,,,,,,,,
5/8/2024 19:00,25.4,2.57,6.43,29.9,3.82,2.32,10.8,14.2,35.2,1.38,1.36,41.2,26.7,44.4,6.16,14.2,17.7,6.28,11.3,13.9,34.7,20.7,13.4,20.6,,57,14.54833333,19.17,4.197546692,3.284602739,,,,,,,,,,
5/8/2024 20:00,44.6,43.5,20.3,40.2,31.7,13.4,32.5,27.3,21.7,32.5,20.4,23.8,60.9,35.5,24.2,1.47,34.3,20.5,35.2,18.9,47.3,9.79,28.1,15,,58,29.325,27.59666667,2.868061456,4.734370512,,,,,,,,,,
5/8/2024 21:00,20.2,42.1,2.35,33.7,6.75,4.97,3.31,20,26.5,8.21,2.09,27,42.4,52.5,44.2,35.2,18.8,0.392,16.6,22.1,38.7,14.3,9.63,12.2,,59,16.43166667,25.58516667,3.956111657,4.729662621,,,,,,,,,,
5/8/2024 22:00,19.5,39,11.5,2.74,16.6,8.43,5.9,1.1,14.5,4.41,14.2,9.1,7.49,46.2,12.6,11.5,2.99,6.17,19.6,8.87,29.1,19.1,7.03,0.338,,60,12.24833333,14.249,2.93559731,3.709266786,,,,,,,,,,
5/8/2024 23:00,29.8,13,19.2,27.7,11.5,21.6,10.8,16.5,19.4,2.29,0.524,27.9,17.1,3.24,14.2,11.1,12.1,18.2,16.7,18.9,7.66,6.84,0.455,14.3,,61,16.6845,11.73291667,2.753081184,1.740188563,,,,,,,,,,
5/9/2024 0:00,13.8,3.03,1.17,8.27,32.1,3.17,3.66,0.536,32.5,7.67,13.1,17.6,39.5,24.6,21.9,2.38,20.1,2.58,6.13,7.88,38.7,11.3,9.49,10.9,,62,11.38383333,16.28833333,3.215579334,3.70457801,,,,,,,,,,
5/9/2024 1:00,9.91,30.1,13.3,19.4,4.37,17.4,4.85,11.8,25.6,1.43,3.58,6.43,15.3,26.3,9.14,1.66,17.4,17,2.5,13.7,8.84,22.4,7.71,4.73,,63,12.3475,12.22333333,2.645929729,2.247185557,,,,,,,,,,
5/9/2024 2:00,25.5,6.23,1.67,0.734,4.9,1.71,8.26,8.02,32.1,4.37,1.34,20.3,9.97,3.42,3.79,0.519,1.69,0.0393,19.5,10.3,2.18,6.66,3.15,0.532,,64,9.5945,5.145858333,3.028415919,1.643360456,,,,,,,,,,
5/9/2024 3:00,0.197,1.3,4.1,0.251,29.8,4.91,11.4,1.77,5.52,0.115,0.242,17.8,24.1,7.76,25.2,0.477,7.09,3.97,0.627,0.473,27.3,7.66,0.299,6.68,,65,6.450416667,9.303,2.628414802,2.955565731,,,,,,,,,,
