Elapsed Hours (since 7:00),F_SNI_Met_Met1_FED007_033024_00.CSV,F_SNI_Met_Met1_FED008_032924_00.CSV,F_SNI_Met_Met1_FED009_032824_00.CSV,F_SNI_Met_Met2_FED007_042524_00.CSV,F_SNI_Met_Met2_FED008_042424_00.CSV,F_SNI_Met_Met2_FED009_042524_00.CSV,F_SNI_Met_Met2_FED015_042524_00.CSV,F_SNI_Met_Met2_FED016_042424_00.CSV,M_SNI_Met_Met1_FED010_032924_00.CSV,M_SNI_Met_Met1_FED011_033024_00.CSV,M_SNI_Met_Met1_FED012_032924_00.CSV,M_SNI_Met_Met2_FED010_042424_00.CSV,M_SNI_Met_Met2_FED011_042524_00.CSV,M_SNI_Met_Met2_FED012_042424_00.CSV,F_Ctrl_Veh_Met1_FED001_040124_00.CSV,F_Ctrl_Veh_Met1_FED002_032924_00.CSV,F_Ctrl_Veh_Met1_FED003_032924_00.CSV,F_Ctrl_Veh_Met2_FED001_042424_00.CSV,F_Ctrl_Veh_Met2_FED002_042524_00.CSV,F_Ctrl_Veh_Met2_FED003_042424_00.CSV,F_Ctrl_Veh_Met2_FED013_042424_00.CSV,F_Ctrl_Veh_Met2_FED014_042524_00.CSV,M_Ctrl_Veh_Met1_FED004_033024_00.CSV,M_Ctrl_Veh_Met1_FED005_032824_00.CSV,M_Ctrl_Veh_Met1_FED006_032924_00.CSV,M_Ctrl_Veh_Met2_FED004_042524_00.CSV,M_Ctrl_Veh_Met2_FED005_042424_00.CSV,M_Ctrl_Veh_Met2_FED006_042724_00.csv,F_SNI_Veh_Met1_FED007_033124_00.CSV,F_SNI_Veh_Met1_FED008_032824_00.CSV,F_SNI_Veh_Met1_FED009_032924_00.CSV,F_SNI_Veh_Met2_FED007_042424_00.CSV,F_SNI_Veh_Met2_FED008_042524_00.CSV,F_SNI_Veh_Met2_FED009_042424_00.CSV,F_SNI_Veh_Met2_FED015_042624_00.CSV,F_SNI_Veh_Met2_FED016_042524_00.CSV,M_SNI_Veh_Met1_FED010_032824_00.CSV,M_SNI_Veh_Met1_FED011_032924_00.CSV,M_SNI_Veh_Met1_FED012_033024_00.CSV,M_SNI_Veh_Met2_FED010_042524_00.CSV,M_SNI_Veh_Met2_FED011_042624_00.CSV,M_SNI_Veh_Met2_FED012_042524_00.CSV,SNI_MET,SNI_MET SEM,VEH_CTRL,VEH_CTRL SEM,VEH_SNI,VEH_SNI SEM
41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
