TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD
2317966.844,,289.734,309.595,,0,0,0,0,0
2318033.503,,291.36,307.933,,0,0,0,0,0
2318100.162,,290.163,305.421,,0,0,0,0,0
2318166.817,,291.793,303.667,,0,0,0,0,0
2318233.476,,292.416,305.991,,0,0,0,0,0
2318300.136,,293.034,306.89,,0,0,0,0,0
2318366.794,,291.767,306.961,,0,0,0,0,0
2318433.447,,290.833,305.627,,0,0,0,0,0
2318500.104,,290.488,305.44,,0,0,0,0,0
2318566.766,,292.659,306.395,,0,0,0,0,0
2318633.417,,292.131,311.177,,0,0,0,0,0
2318700.078,,293.008,307.437,,0,0,0,0,0
2318766.738,,290.378,308.9,,0,0,0,0,0
2318833.396,,292.951,309.2,,0,0,0,0,0
2318900.051,,291.98,312.226,,0,0,0,0,0
2318966.711,,290.654,323.328,,0,0,0,0,0
2319033.368,,291.792,323.798,,0,0,0,0,0
2319100.026,,290.901,321.664,,0,0,0,0,0
2319166.68,,289.675,316.709,,0,0,0,0,0
2319233.337,,289.884,311.536,,0,0,0,0,0
2319299.997,,290.631,307.205,,0,0,0,0,0
2319366.651,,289.878,305.296,,0,0,0,0,0
2319433.309,,291.38,304.718,,0,0,0,0,0
2319499.971,,291.472,306.177,,0,0,0,0,0
2319566.628,,290.115,303.612,,0,0,0,0,0
2319633.282,,290.881,306.384,,0,0,0,0,0
2319699.943,,291.82,307.613,,0,0,0,0,0
2319766.599,,291.855,308.762,,0,0,0,0,0
2319833.262,,292.298,309.248,,0,0,0,0,0
2319899.921,,293.606,309.633,,0,0,0,0,0
2319966.575,,293.567,309.201,,0,0,0,0,0
2320033.237,,292.464,309.627,,0,0,0,0,0
2320099.892,,293.299,310.908,,0,0,0,0,0
2320166.555,,293.876,310.205,,0,0,0,0,0
2320233.214,,293.481,309.876,,0,0,0,0,0
2320299.87,,293.477,312.442,,0,0,0,0,0
2320366.529,,292.464,313.098,,0,0,0,0,0
2320433.185,,292.623,314.775,,0,0,0,0,0
2320499.849,,291.774,313.847,,0,0,0,0,0
2320566.508,,291.038,314.105,,0,0,0,0,0
2320633.162,,291.396,317.542,,0,0,0,0,0
2320699.827,,292.218,321.733,,0,0,0,0,0
2320766.484,,291.856,318.21,,0,0,0,0,0
2320833.138,,292.98,315.758,,0,0,0,0,0
2320899.804,,292.094,312.118,,0,0,0,0,0
2320966.457,,291.772,308.612,,0,0,0,0,0
2321033.117,,291.288,305.044,,0,0,0,0,0
