TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,Expected_Dispense_RWD
1312227.526,,796.661,840.643,,0,0,0,0,0,0
1312294.184,,797.293,839.038,,0,0,0,0,0,0
1312360.838,,796.183,837.967,,0,0,0,0,0,0
1312427.502,,795.328,838.569,,0,0,0,0,0,0
1312494.156,,793.641,836.352,,0,0,0,0,0,0
1312560.814,,792.46,836.757,,0,0,0,0,0,0
1312627.478,,792.365,834.541,,0,0,0,0,0,0
1312694.135,,792.382,832.56,,0,0,0,0,0,0
1312760.789,,792.856,831.02,,0,0,0,0,0,0
1312827.452,,790.91,831.786,,0,0,0,0,0,0
1312894.105,,792.737,833.062,,0,0,0,0,0,0
1312960.764,,793.853,835.594,,0,0,0,0,0,0
1313027.426,,793.591,836.57,,0,0,0,0,0,0
1313094.082,,793.876,837.51,,0,0,0,0,0,0
1313160.741,,791.983,837.52,,0,0,0,0,0,0
1313227.403,,793.938,841.378,,0,0,0,0,0,0
1313294.059,,797.977,842.932,,0,0,0,0,0,0
1313360.718,,798.819,842.868,,0,0,0,0,0,0
1313427.376,,801.245,841.389,,0,0,0,0,0,0
1313494.037,,797.269,837.413,,0,0,0,0,0,0
1313560.689,,793.8,834.565,,0,0,0,0,0,0
1313627.351,,794.68,833.907,,0,0,0,0,0,0
1313694.007,,798.156,833.249,,0,0,0,0,0,0
1313760.665,,797.177,831.532,,0,0,0,0,0,0
1313827.325,,797.904,834.2,,0,0,0,0,0,0
1313893.982,,802.633,839.681,,0,0,0,0,0,0
1313960.643,,804.141,842.049,,0,0,0,0,0,0
1314027.303,,805.347,842.567,,0,0,0,0,0,0
1314093.96,,803.756,846.325,,0,0,0,0,0,0
1314160.617,,804.928,842.102,,0,0,0,0,0,0
1314227.28,,800.057,838.139,,0,0,0,0,0,0
1314293.936,,793.191,833.809,,0,0,0,0,0,0
1314360.597,,793.917,831.457,,0,0,0,0,0,0
1314427.25,,794.237,830.906,,0,0,0,0,0,0
1314493.913,,793.288,829.41,,0,0,0,0,0,0
1314560.569,,791.931,829.073,,0,0,0,0,0,0
1314627.231,,794.12,828.562,,0,0,0,0,0,0
1314693.887,,793.871,828.958,,0,0,0,0,0,0
1314760.546,,793.376,831.001,,0,0,0,0,0,0
1314827.206,,793.746,831.371,,0,0,0,0,0,0
1314893.861,,793.977,832.66,,0,0,0,0,0,0
1314960.523,,793.944,834.023,,0,0,0,0,0,0
1315027.181,,794.069,835.64,,0,0,0,0,0,0
1315093.835,,799.62,840.624,,0,0,0,0,0,0
1315160.493,,802.071,841.171,,0,0,0,0,0,0
1315227.157,,795.212,840.475,,0,0,0,0,0,0
1315293.809,,788.699,839.24,,0,0,0,0,0,0
1315360.473,,790.267,843.354,,0,0,0,0,0,0
1315427.128,,795.049,844.57,,0,0,0,0,0,0
1315493.786,,794.132,837.677,,0,0,0,0,0,0
1315560.446,,786.706,835.032,,0,0,0,0,0,0
1315627.102,,789.843,836.885,,0,0,0,0,0,0
1315693.761,,793.143,834.222,,0,0,0,0,0,0
1315760.422,,792.834,832.349,,0,0,0,0,0,0
1315827.08,,788.906,828.6,,0,0,0,0,0,0
1315893.742,,789.511,825.184,,0,0,0,0,0,0
1315960.395,,787.344,824.46,,0,0,0,0,0,0
1316027.059,,788.37,823.448,,0,0,0,0,0,0
1316093.714,,787.892,822.799,,0,0,0,0,0,0
1316160.372,,788.604,821.323,,0,0,0,0,0,0
1316227.034,,788.652,819.966,,0,0,0,0,0,0
1316293.688,,789.284,819.63,,0,0,0,0,0,0
1316360.346,,791.441,821.185,,0,0,0,0,0,0
1316427.007,,789.394,826.922,,0,0,0,0,0,0
1316493.665,,789.269,831.287,,0,0,0,0,0,0
1316560.321,,789.555,835.319,,0,0,0,0,0,0
1316626.984,,786.866,837.378,,0,0,0,0,0,0
1316693.644,,789.311,836.687,,0,0,0,0,0,0
1316760.297,,789.17,837.689,,0,0,0,0,0,0
1316826.96,,789.703,834.977,,0,0,0,0,0,0
1316893.612,,790.72,833.353,,0,0,0,0,0,0
1316960.272,,788.81,830.571,,0,0,0,0,0,0
1317026.932,,789.975,827.441,,0,0,0,0,0,0
1317093.59,,785.58,828.26,,0,0,0,0,0,0
1317160.252,,785.686,824.687,,0,0,0,0,0,0
1317226.909,,783.825,825.112,,0,0,0,0,0,0
1317293.568,,786.645,826.432,,0,0,0,0,0,0
1317360.225,,790.242,830.485,,0,0,0,0,0,0
1317426.882,,790.816,828.348,,0,0,0,0,0,0
1317493.541,,788.997,827.722,,0,0,0,0,0,0
1317560.2,,789.283,827.892,,0,0,0,0,0,0
1317626.862,,792.298,829.92,,0,0,0,0,0,0
1317693.517,,792.003,832.098,,0,0,0,0,0,0
1317760.176,,792.487,831.231,,0,0,0,0,0,0
1317826.834,,792.877,830.759,,0,0,0,0,0,0
1317893.49,,791.888,830.211,,0,0,0,0,0,0
1317960.153,,792.813,831.538,,0,0,0,0,0,0
1318026.807,,794.13,833.227,,0,0,0,0,0,0
1318093.467,,793.051,836.244,,0,0,0,0,0,0
1318160.129,,793.456,835.537,,0,0,0,0,0,0
1318226.784,,792.857,833.713,,0,0,0,0,0,0
1318293.445,,792.733,830.876,,0,0,0,0,0,0
1318360.102,,792.767,828.593,,0,0,0,0,0,0
1318426.763,,790.714,826.759,,0,0,0,0,0,0
1318493.415,,791.662,822.256,,0,0,0,0,0,0
1318560.08,,792.221,827.128,,0,0,0,0,0,0
1318626.738,,793.829,824.068,,0,0,0,0,0,0
1318693.397,,792.832,823.181,,0,0,0,0,0,0
1318760.054,,790.691,820.855,,0,0,0,0,0,0
1318826.714,,787.322,818.892,,0,0,0,0,0,0
