group,cohort,animal,animal_id,date,day,n_tones,n_grabs,n_matched,n_success,n_delayed,n_no_pellet,success_pct,latency_median_from_tone_onset_s,latency_median_from_tone_end_s,latency_mean_from_tone_onset_s,source_file
SNI,OFP,M11,OFP_M11,09_09_25,1,46,37,35,17,18,11,36.95652173913044,10.227520000000368,5.227520000000368,405.6928771657152,SNI_OFP_M11_09_09_25_01_2025-09-09T11_42_46_cleaned.csv
SNI,OFP,M11,OFP_M11,09_10_25,2,113,77,77,51,26,36,45.13274336283186,7.939910000004602,2.939910000004602,132.07244922077916,SNI_OFP_M11_09_10_25_02_2025-09-10T09_15_38_cleaned.csv
SNI,OFP,M11,OFP_M11,09_11_25,3,124,85,85,76,9,39,61.29032258064516,7.42631679999613,2.4263167999961297,9.17246027294129,SNI_OFP_M11_09_11_25_03_2025-09-11T09_28_47_cleaned.csv
SNI,OFP,M12,OFP_M12,09_09_25,1,79,66,66,46,20,13,58.22784810126582,8.28856960000121,3.2885696000012103,53.33392892121168,SNI_OFP_M12_09_09_25_01_2025-09-09T11_42_46_cleaned.csv
SNI,OFP,M12,OFP_M12,09_10_25,2,121,97,95,63,32,26,52.06611570247934,8.288480000002892,3.2884800000028918,71.88787263157941,SNI_OFP_M12_09_10_25_02_2025-09-10T09_15_38_cleaned.csv
SNI,OFP,M12,OFP_M12,09_11_25,3,112,102,102,78,24,10,69.64285714285714,7.571340800001053,2.571340800001053,89.66946334117681,SNI_OFP_M12_09_11_25_03_2025-09-11T09_28_47_cleaned.csv
SNI,OFP,M13,OFP_M13,09_09_25,1,67,55,55,34,21,12,50.74626865671642,8.866419199999655,3.8664191999996547,13.562025425454463,SNI_OFP_M13_09_09_25_01_2025-09-09T13_09_19_cleaned.csv
SNI,OFP,M13,OFP_M13,09_10_25,2,142,108,108,69,39,34,48.59154929577465,8.018342400006077,3.018342400006077,51.76131994074051,SNI_OFP_M13_09_10_25_02_2025-09-10T09_08_30 (1)_cleaned.csv
SNI,OFP,M13,OFP_M13,09_11_25,3,23,21,21,17,4,2,73.91304347826087,7.200550400004431,2.200550400004431,20.26071893333291,SNI_OFP_M13_09_11_25_03_2025-09-11T09_11_51_cleaned.csv
SNI,OFP,M3,OFP_M3,07_15_25,1,276,181,181,152,29,95,55.072463768115945,7.490841600010754,2.4908416000107536,23.79753115580138,SNI_OFP_M3_07_15_25_01_2025-07-15T17_03_27_cleaned.csv
SNI,OFP,M3,OFP_M3,07_19_25,2,331,246,246,224,22,85,67.6737160120846,7.057900799998606,2.057900799998606,9.468588539836983,SNI_OFP_M3_07_19_25_02_2025-07-19T15_35_53_cleaned.csv
SNI,OFP,M3,OFP_M3,07_20_25,3,261,169,169,143,26,92,54.78927203065134,6.849791999977242,1.849791999977242,10.77230079999961,SNI_OFP_M3_07_20_25_03_2025-07-20T17_48_22_cleaned.csv
SNI,OFP,M5,OFP_M5,06_30_25,1,234,177,177,97,80,57,41.452991452991455,9.37955839999995,4.379558399999951,74.9195287141254,SNI_OFP_M5_06_30_25_01_2025-06-30T17_10_06_cleaned.csv
SNI,OFP,M5,OFP_M5,07_01_25,2,226,136,136,129,7,90,57.07964601769911,6.9601024000094185,1.9601024000094185,20.384778635293422,SNI_OFP_M5_07_01_25_02_2025-07-01T17_28_20_cleaned.csv
SNI,OFP,M5,OFP_M5,07_02_25,3,188,143,142,122,20,46,64.8936170212766,6.703852799997549,1.7038527999975486,31.362351774647617,SNI_OFP_M5_07_02_25_03_2025-07-02T17_11_57_cleaned.csv
